main_tweet,main_tweet_id,replies
How Does COVID-19 Spread? https://t.co/TXHDeUpetg https://t.co/IyyirWcKSp,1246482832316301319,"[{""tweet_id"": 1247355493988909056, ""tweet"": ""@WCCO Thanks, WCCO! You are the only Station I can trust in the Media to provide True News!! My Pa used to work as a radio announcer for you many, many years ago and I have been watching you ever since! Stay Safe!\u2764"", ""created_at"": 1586227699.0}]"
"@brain_warrior I hate to keep saying it, but Capitalism will implode - with or without - a virus. Theirs is a crisis of abundance. (Not of shortage.) If Capitalism cannot solve its problems, then why do WE need it? Don’t worry, it’ll try to “solve” it’s problems - BY FORCE - if need be...",1252279738099433473,"[{""tweet_id"": 1251884146403815428, ""tweet"": ""@brain_warrior If you don\u2019t believe me, all you have to do is look up these changes for yourself, then week for humanity."", ""created_at"": 1587307414.0}, {""tweet_id"": 1252033306100670464, ""tweet"": ""@brain_warrior Tell that to the people that are \u201cprotesting\u201d.\ud83e\udd23"", ""created_at"": 1587342976.0}, {""tweet_id"": 1252193429779615745, ""tweet"": ""@brain_warrior Trick question, as my life IS my life. Because Capitalism doesn\u2019t, hadn\u2019t, won\u2019t, and NEVER, will provide \u201cfreedom.\u201d (Just ask any homeless, imprisoned, broken down, disconnected from reality, or immigrant about \u201cfreedom\u201d, and you\u2019ll notice how they talk about it.)"", ""created_at"": 1587381152.0}, {""tweet_id"": 1252278372388016130, ""tweet"": ""@brain_warrior To WHAT state? And being a slave to whom? If you thought using historical materialism, you\u2019ll realize that we exported all of our problems decades ago. If anyone is going to complain about hearing others say: \u201cDeath to America\u201d or the sight of the American flag being burned-"", ""created_at"": 1587401404.0}, {""tweet_id"": 1252279104663101440, ""tweet"": ""@brain_warrior - perhaps you may want to RETHINK why it is they hate America so much. It\u2019s a Herculean task for you to question your patriotism, but it\u2019s Sisyphian if you think WE will solve \u201cour\u201d \u201cproblems\u201d, by simply ignoring or demonizing the solutions at hand."", ""created_at"": 1587401579.0}, {""tweet_id"": 1252280134981255172, ""tweet"": ""@brain_warrior But by then, your mind will already be made up, and you\u2019ll be complicit, regardless of the consequences. After all, YOU got to protect your Stock Market Gods... so if you wish to SAVE the economy, go on ahead. No one is stopping you."", ""created_at"": 1587401825.0}, {""tweet_id"": 1252291510135111682, ""tweet"": ""@brain_warrior Bartering. You\u2019re trading goods for services. But under Capitalism, you don\u2019t own your labor power. And if you wish to know how it relates to political ideology, consider reading \u201cManufacturing Consent.\u201d Or, if you\u2019re feeling adventurous, \u201cBlackshirts and Reds.\u201d"", ""created_at"": 1587404537.0}]"
,1236050255394877440,[]
"Una de les Q&amp;A on coronaviruses de la pàgina web de WHO:
Q: How long is the incubation period for COVID-19?
A: Most estimates of the incubation period for COVID-19 range from 1-14 days, most commonly around five days. These estimates will be updated as more data become available.",1235582115900796928,"[{""tweet_id"": 1235584239497867275, ""tweet"": ""Aquesta informaci\u00f3 es basa sobre tot en un article publicat al New England Journal of Medicine, bassat en una mostra de 425 casos confirmats a Wujan.\nhttps://t.co/IFNsU9f4Q1"", ""created_at"": 1583421213.0}, {""tweet_id"": 1235585067973578752, ""tweet"": ""Els autors diuen:\n\""The mean incubation period to be 5.2 days (95% confidence interval [CI], 4.1 to 7.0); the 95th percentile of the distribution was 12.5 days (95% CI, 9.2 to 18)\""\nAssumeixen que els per\u00edodes d'incubaci\u00f3 segueix una distribuci\u00f3 lognormal."", ""created_at"": 1583421410.0}, {""tweet_id"": 1235585883895721986, ""tweet"": ""Exercici pels nostres estudiants:\nSi tenim una distribuci\u00f3 lognormal amb mitjana (esperan\u00e7a) igual 5.2, i el percentil 95 \u00e9s 12.5, quin \u00e9s el percetil 99?\nLa resposta \u00e9s una mica inquietant."", ""created_at"": 1583421605.0}]"
"@_truthpolitics We should absolutely blame the politicians and whoever else is involved in not holding police officers as a whole accountable for their actions. 
But why do we think putting the gun and cuffs in each other's hands will solve this? When can we expect results?",1258787515592572928,"[{""tweet_id"": 1258710626676899840, ""tweet"": ""@MalaikaJabali @BenjaminPDixon We can\u2019t forget that racism is in ALL our institutions, so having 1 or 2 people inside is ineffective in terms of access to power/change. We have to continue to increase our representation to give them the power on the inside to fight back against all the resistance they face."", ""created_at"": 1588934973.0}, {""tweet_id"": 1258711444075565058, ""tweet"": ""@MalaikaJabali @BenjaminPDixon Not to mention, we have never had fair representation and that explains everything (are we really going to blame our own people? Lol). We need to embrace an attitude of being sure we\u2019re represented, and just hold the politicians we put in accountable to the community."", ""created_at"": 1588935168.0}, {""tweet_id"": 1258786739835068416, ""tweet"": ""@_truthpolitics Um, yes we are if they're also doing the shooting, the stop and frisk, et cetera. On one hand you say we need people on the inside, but don't expect them to be able to do much."", ""created_at"": 1588953120.0}, {""tweet_id"": 1258787270225727489, ""tweet"": ""@_truthpolitics We been on the inside since the 19th century and here we are. \n\nhttps://t.co/r6SD30hjUF"", ""created_at"": 1588953247.0}, {""tweet_id"": 1258846086850056193, ""tweet"": ""@klarth Yeah. I never said we shouldn\u2019t hold them accountable, nor did I insinuate that. We obviously need to do that. And you have to quit assuming everyone is the same just because they work in the institution. You can\u2019t change everything from the outside, you\u2019ll get ignored all day."", ""created_at"": 1588967269.0}, {""tweet_id"": 1258846533581144064, ""tweet"": ""@klarth There are plenty of people that work in these institutions to change them. We overestimate how easy that is. Just because it isn\u2019t happening immediately doesn\u2019t meant we don\u2019t have people representing us that are fighting. The outrage should be on the resistance. Not those trying"", ""created_at"": 1588967376.0}]"
Hewlett-Packard plans to split into two companies: WSJ report http://t.co/9sX69fGlcx,518827403452637184,"[{""tweet_id"": 518877382933880832, ""tweet"": ""\u3084\u306f\u308a\u30d1\u30fc\u30bd\u30ca\u30ebPC\u4e8b\u696d\u306f\u58f2\u3089\u306a\u3044\u307e\u3067\u3082\u3001\u4f55\u3068\u304b\u3057\u305f\u3044\u3093\u3067\u3059\u306a\u3002\n\u201c@Reuters: Hewlett-Packard plans to split into two companies: WSJ report http://t.co/cx3BxFOORA\u201d"", ""created_at"": 1412544983.0}, {""tweet_id"": 518833629817208832, ""tweet"": ""\u201c@Reuters: Hewlett-Packard plans to split into two companies: WSJ report http://t.co/BBPJUlfv3m\u201d"", ""created_at"": 1412534551.0}, {""tweet_id"": 518828383988244480, ""tweet"": ""@Reuters What they need to do is separate themselves from Meg Whitman just like they did with Carly Fioina. Many women are better qualified!"", ""created_at"": 1412533300.0}, {""tweet_id"": 518831351735529473, ""tweet"": ""\u201c@Reuters: Hewlett-Packard plans to split into two companies: WSJ report http://t.co/aqtjHd8Tv1\u201d"", ""created_at"": 1412534008.0}, {""tweet_id"": 518827864788332545, ""tweet"": ""@SquawkStreet @davidfaber @jimcramer \u201c@Reuters: Hewlett-Packard plans to split into two companies: WSJ report http://t.co/KKL1gCrOIb\u201d"", ""created_at"": 1412533176.0}, {""tweet_id"": 518827627298447361, ""tweet"": ""@Reuters Heward &amp; Packlett?"", ""created_at"": 1412533120.0}, {""tweet_id"": 518836307888726016, ""tweet"": ""@Reuters April fools surely?"", ""created_at"": 1412535189.0}]"
"เผยกบฏยูเครนอาจเข้าใจผิดคิดว่า #MH17 เป็นเครื่องบินทหารยูเครนรุกล้ำ / 14 ก.ค.ก็เพิ่งยิงตกไปลำ
http://t.co/4ye5I08Goc http://t.co/qYgKkjfTIw",489829414704648192,"[{""tweet_id"": 490375346047713280, ""tweet"": ""@yoware \u0e02\u0e2d\u0e1a\u0e04\u0e38\u0e13\u0e04\u0e23\u0e31\u0e1a"", ""created_at"": 1405749567.0}]"
"#Germanwings ""sorry to confirm"" 144 passengers &amp; 6 crew on board flight #4U9525 when it crashed in French Alps http://t.co/inQlKOqZup",580348081100734464,"[{""tweet_id"": 580351508971200512, ""tweet"": ""@BBCBreaking It's been a rotten year for France so far..."", ""created_at"": 1427201556.0}, {""tweet_id"": 580355004294250496, ""tweet"": ""\u201c@BBCBreaking: King Felipe VI of Spain cancels state visit to France after #Germanwings crash http://t.co/wAKIEsJ7lG http://t.co/qv3Tf8v7NS\u201d"", ""created_at"": 1427202390.0}, {""tweet_id"": 580421457974566912, ""tweet"": ""@BBCBreaking @claudiapapo What Does He Know That We Don't? http://t.co/vhSxASUv01"", ""created_at"": 1427218233.0}, {""tweet_id"": 580354381578522625, ""tweet"": ""King Felipe VI of Spain cancels state visit to France after #Germanwings crash http://t.co/kYlhfIJBRE http://t.co/ysPirvrA3i | @BBCBreaking"", ""created_at"": 1427202241.0}, {""tweet_id"": 580353327470247936, ""tweet"": ""@BBCBreaking @BBCWorld What he couldn't be driven?"", ""created_at"": 1427201990.0}, {""tweet_id"": 580355218686111744, ""tweet"": ""\u72ec\u30a8\u30a2\u30d0\u30b9\u589c\u843d\u4e8b\u6545\u3001\u4e57\u5ba2144\u4eba\u3001\u4e57\u54e16\u4eba\u306b\u8a02\u6b63\u3002 @BBCBreaking Germanwings \""sorry to confirm\"" 144 passengers &amp; 6 crew on board flight #4U9525 http://t.co/9wfGuUuvm7"", ""created_at"": 1427202441.0}, {""tweet_id"": 580422272575533056, ""tweet"": ""@Larryputt @BBCBreaking assholes"", ""created_at"": 1427218428.0}, {""tweet_id"": 580358103255879680, ""tweet"": ""@_icla_ @BBCBreaking In this case for Germany and Spain as well...:-("", ""created_at"": 1427203129.0}, {""tweet_id"": 580349775280738304, ""tweet"": ""Have mercy My heart breaks RT @BBCBreaking #Germanwings confirm 144 ppl &amp; 6 crew on FLT #4U9525 crash in French Alps \nhttp://t.co/EnWBqbFRzn"", ""created_at"": 1427201143.0}, {""tweet_id"": 580350715408859136, ""tweet"": ""RT @BBCBreaking Victims of #Germanwings crash were most likely from Spain, Germany &amp; Turkey, says President Hollande http://t.co/vMWyWONXXq"", ""created_at"": 1427201367.0}, {""tweet_id"": 580364951367200770, ""tweet"": ""MT \u201c@BBCBreaking: #Germanwings: 144 passengers &amp; 6 crew on board flight #4U9525 when it crashed in French Alps http://t.co/0lLhzfIr4l\u201d"", ""created_at"": 1427204761.0}, {""tweet_id"": 580348826835394560, ""tweet"": ""Sad news \""@BBCBreaking: #Germanwings \""sorry to confirm\"" 144 passengers &amp; 6 crew on board #4U9525 when it crashed http://t.co/PQZNCtNwDx\u201d"", ""created_at"": 1427200917.0}]"
@MitchGayns @politi_geek @AOC Not sure how a different path means a different destination. But why now? Why do we need it now? Where was the need say 4-8 years ago? Because it sounds like a good arguing point? Just asking. We all want the same thing for our country. Just can’t agree how to get there.,1248121143808098305,"[{""tweet_id"": 1248084654873329664, ""tweet"": ""Sometimes it still stops me in my tracks that because I believe insulin should be free, workers shld be paid justly, we shld house the homeless and not cage families, &amp; that all people should be free to pursue education as they wish,for THAT we are treated as radical &amp; dangerous."", ""created_at"": 1586401544.0}, {""tweet_id"": 1248087714966016001, ""tweet"": ""@AOC I believe in all of those things.\n\nI just see a different path for getting there."", ""created_at"": 1586402274.0}]"
@rabiasquared Depends on how you get there. Driving in your own vehicles that are already gassed up? Do you have a plan if someone starts showing covid -19 symptoms. Being no more than 4-5 hrs away from home is sensible. Bring all the food you will need. I can sympathize.,1258487399014858752,"[{""tweet_id"": 1258486351802105857, ""tweet"": ""Maybe I'm missing something, but why would it be unsafe for my family to go away for a few days, where we would basically just stay together there? No shopping or sight seeing or restaurants, just being in a different house for a few days? https://t.co/m0J9OBLdGr"", ""created_at"": 1588881502.0}, {""tweet_id"": 1258488222289707008, ""tweet"": ""@dkahn369 @rabiasquared Still gonna have to stop at least once for gas on a 4-5 hr drive. Source: drive ~5 hrs to DC regularly. Stop once on the way up, once on the way back."", ""created_at"": 1588881948.0}, {""tweet_id"": 1258511481328431108, ""tweet"": ""@Kelly05423422 @rabiasquared I guess it depends on the car. Our old 2005 Prius runs forever but probably a stop on the way back"", ""created_at"": 1588887493.0}]"
